Seg&TS&Flux&Flux_err&eFlux&eFlux_err&log_N0&log_N0_err&g&g_err
1&1586.61 &10.79&0.70&4.65&0.27&-9.51&0.03&2.14&0.04
2&891.89 &4.07&0.05&3.52&0.09&-9.94&0.05&1.92&0.05
3A&155.29 &3.44&0.95&1.53&0.26&-9.89&0.16&2.19&0.19
3B&154.60 &3.88&0.67&1.86&0.33&-10.06&0.12&1.97&0.12
4&263.04 &4.80&0.78&2.02&0.34&-9.91&0.06&2.21&0.10
5&379.65 &4.52&0.72&2.60&0.45&-9.96&0.05&2.10&0.07
6&308.48 &3.72&0.67&2.06&0.33&-9.97&0.06&2.03&0.08
7&320.09 &2.06&0.25&1.95&0.27&-10.20&0.13&1.84&0.12
8&173.44 &4.61&0.18&2.15&0.14&-10.07&0.07&1.96&0.08
all&4995.36 &5.16&0.05&2.71&0.04&-9.87&0.01&2.12&0.02
